,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
0,21,7099,1106.0,2401,1138,8.3014,0,358500
1,42,2555,665.0,1206,595,2.0804,0,226700
2,50,2239,455.0,990,419,1.9911,0,158700
3,42,1639,367.0,929,366,1.7135,0,159800
4,50,2082,492.0,1131,473,1.6424,0,108900
5,48,1922,409.0,1026,335,1.7969,0,110400
6,51,2665,574.0,1258,536,2.7303,0,109700
7,48,1798,432.0,987,374,1.0972,0,104500
8,43,1868,456.0,1061,407,1.5045,0,93800
9,41,3221,853.0,1959,720,1.1108,0,97500
10,46,2801,644.0,1823,611,0.9802,0,129200
11,36,2914,562.0,1236,509,2.4464,0,102100
12,23,1745,374.0,1054,325,0.8026,0,112500
13,39,1715,623.0,1327,467,1.8477,0,179200
14,31,4596,1331.0,2048,1180,2.8345,0,183800
15,22,3682,1270.0,2024,1250,1.2185,0,170000
16,37,3633,1085.0,1838,980,2.6104,0,193100
17,29,4656,1414.0,2304,1250,2.4912,0,257800
18,28,3337,855.0,1520,802,3.9063,0,225000
19,32,3809,1098.0,1806,1022,2.6429,0,218500
20,26,3959,1196.0,1749,1217,3.0233,0,255000
21,50,2515,399.0,970,373,5.8596,0,327600
22,47,3175,454.0,1098,485,5.2868,0,347600
23,28,5287,1048.0,2031,956,5.457,0,337300
24,50,2935,473.0,1031,479,7.5,0,295200
25,44,3424,597.0,1358,597,6.0194,0,292300
26,40,4991,674.0,1616,654,7.5544,0,411500
27,34,3038,490.0,1140,496,7.0548,0,325900
28,35,2865,460.0,1072,443,7.4882,0,319300
29,34,5065,788.0,1627,766,6.8976,0,333300
30,39,3770,534.0,1265,500,6.3302,0,362800
31,45,2964,436.0,1067,426,6.7851,0,323500
32,50,2833,605.0,1260,552,2.8929,0,216700
33,38,2254,535.0,951,487,3.0812,0,233100
34,46,3232,835.0,1373,747,3.225,0,218800
35,42,4120,1065.0,1715,1015,2.9345,0,225000
36,43,2364,792.0,1359,722,2.1429,0,250000
37,41,1471,469.0,1062,413,1.6121,0,171400
38,29,2468,864.0,1335,773,1.3929,0,193800
39,27,1632,492.0,1171,429,2.3173,0,125000
40,45,1786,526.0,1475,460,1.7772,0,97500
41,36,1678,606.0,1645,543,2.2303,0,116700
42,43,2344,647.0,1710,644,1.6504,0,151800
43,47,2046,588.0,1213,554,2.6292,0,182700
44,49,2838,749.0,1487,677,2.5238,0,169300
45,51,1590,414.0,949,392,1.9028,0,127900
46,50,1746,480.0,1149,415,2.25,0,123500
47,39,1469,431.0,1464,389,2.1638,0,105500
48,47,1372,395.0,1237,303,2.125,0,95500
49,43,1626,376.0,1284,357,2.2542,0,112200
50,20,2373,779.0,1659,676,1.6929,0,115000
51,50,1920,530.0,1525,477,1.4886,0,128800
52,43,1420,472.0,1506,438,1.9338,0,112500
53,44,2340,825.0,2813,751,1.6009,0,118100
54,48,1696,396.0,1481,343,2.0375,0,122500
55,37,2343,574.0,1608,523,2.1494,0,132500
56,46,2366,575.0,1647,527,2.6042,0,124700
57,49,1826,450.0,1201,424,2.5,0,136700
58,38,3049,711.0,2167,659,2.7969,0,141700
59,29,1640,376.0,939,340,2.8321,0,150000
60,34,2364,557.0,1517,516,2.8365,0,139200
61,35,1745,409.0,1143,386,2.875,0,143800
62,39,2003,500.0,1109,464,3.0682,0,156500
63,39,2018,447.0,1221,446,3.0757,0,151000
64,43,3045,499.0,1115,455,4.9559,0,273000
65,46,2041,405.0,1059,399,3.8487,0,203300
66,45,2718,451.0,1106,454,4.6563,0,231800
67,28,3144,761.0,1737,669,2.9297,0,140500
68,35,1802,459.0,1009,390,2.3036,0,126000
